"id","amascat","biscat","measure","value","difficulty","subject"
618,"lo","lo","easycorrectdiff",1,"easy",NA
619,"lo","hi","easycorrectdiff",0,"easy",NA
620,"hi","lo","easycorrectdiff",2,"easy",NA
621,"lo","hi","easycorrectdiff",0,"easy",NA
622,"hi","hi","easycorrectdiff",-2,"easy",NA
625,"lo","lo","easycorrectdiff",-1,"easy",NA
626,"hi","hi","easycorrectdiff",2,"easy",NA
627,"hi","lo","easycorrectdiff",0,"easy",NA
628,"hi","lo","easycorrectdiff",-1,"easy",NA
629,"hi","hi","easycorrectdiff",1,"easy",NA
630,"hi","hi","easycorrectdiff",1,"easy",NA
631,"hi","hi","easycorrectdiff",5,"easy",NA
632,"hi","lo","easycorrectdiff",-1,"easy",NA
633,"lo","hi","easycorrectdiff",2,"easy",NA
634,"hi","hi","easycorrectdiff",1,"easy",NA
635,"lo","hi","easycorrectdiff",1,"easy",NA
636,"hi","hi","easycorrectdiff",2,"easy",NA
637,"hi","lo","easycorrectdiff",0,"easy",NA
638,"lo","hi","easycorrectdiff",0,"easy",NA
640,"lo","lo","easycorrectdiff",1,"easy",NA
641,"lo","lo","easycorrectdiff",0,"easy",NA
642,"hi","hi","easycorrectdiff",0,"easy",NA
643,"lo","lo","easycorrectdiff",0,"easy",NA
644,"hi","lo","easycorrectdiff",1,"easy",NA
645,"lo","lo","easycorrectdiff",2,"easy",NA
646,"lo","lo","easycorrectdiff",0,"easy",NA
647,"hi","lo","easycorrectdiff",0,"easy",NA
648,"hi","lo","easycorrectdiff",1,"easy",NA
649,"hi","hi","easycorrectdiff",4,"easy",NA
650,"lo","lo","easycorrectdiff",1,"easy",NA
651,"lo","lo","easycorrectdiff",0,"easy",NA
652,"hi","lo","easycorrectdiff",1,"easy",NA
653,"lo","hi","easycorrectdiff",1,"easy",NA
654,"lo","hi","easycorrectdiff",0,"easy",NA
655,"lo","lo","easycorrectdiff",0,"easy",NA
602,"hi","lo","hardcorrectdiff",3,"hard",NA
603,"hi","hi","hardcorrectdiff",3,"hard",NA
604,"hi","hi","hardcorrectdiff",3,"hard",NA
605,"lo","lo","hardcorrectdiff",2,"hard",NA
606,"lo","hi","hardcorrectdiff",1,"hard",NA
607,"hi","lo","hardcorrectdiff",-1,"hard",NA
608,"hi","lo","hardcorrectdiff",2,"hard",NA
609,"hi","hi","hardcorrectdiff",-2,"hard",NA
610,"lo","lo","hardcorrectdiff",-1,"hard",NA
611,"lo","lo","hardcorrectdiff",1,"hard",NA
612,"lo","lo","hardcorrectdiff",0,"hard",NA
613,"lo","hi","hardcorrectdiff",0,"hard",NA
614,"lo","lo","hardcorrectdiff",3,"hard",NA
615,"lo","hi","hardcorrectdiff",5,"hard",NA
616,"lo","lo","hardcorrectdiff",-1,"hard",NA
617,"hi","lo","hardcorrectdiff",2,"hard",NA
618,"lo","lo","hardcorrectdiff",-1,"hard",NA
619,"lo","hi","hardcorrectdiff",0,"hard",NA
620,"hi","lo","hardcorrectdiff",1,"hard",NA
621,"lo","hi","hardcorrectdiff",2,"hard",NA
622,"hi","hi","hardcorrectdiff",-1,"hard",NA
625,"lo","lo","hardcorrectdiff",2,"hard",NA
626,"hi","hi","hardcorrectdiff",0,"hard",NA
627,"hi","lo","hardcorrectdiff",-2,"hard",NA
628,"hi","lo","hardcorrectdiff",3,"hard",NA
629,"hi","hi","hardcorrectdiff",3,"hard",NA
630,"hi","hi","hardcorrectdiff",3,"hard",NA
631,"hi","hi","hardcorrectdiff",-1,"hard",NA
632,"hi","lo","hardcorrectdiff",-1,"hard",NA
633,"lo","hi","hardcorrectdiff",-2,"hard",NA
634,"hi","hi","hardcorrectdiff",2,"hard",NA
635,"lo","hi","hardcorrectdiff",2,"hard",NA
636,"hi","hi","hardcorrectdiff",4,"hard",NA
637,"hi","lo","hardcorrectdiff",1,"hard",NA
638,"lo","hi","hardcorrectdiff",1,"hard",NA
640,"lo","lo","hardcorrectdiff",3,"hard",NA
641,"lo","lo","hardcorrectdiff",3,"hard",NA
642,"hi","hi","hardcorrectdiff",0,"hard",NA
643,"lo","lo","hardcorrectdiff",3,"hard",NA
644,"hi","lo","hardcorrectdiff",-2,"hard",NA
645,"lo","lo","hardcorrectdiff",1,"hard",NA
646,"lo","lo","hardcorrectdiff",6,"hard",NA
647,"hi","lo","hardcorrectdiff",4,"hard",NA
648,"hi","lo","hardcorrectdiff",2,"hard",NA
649,"hi","hi","hardcorrectdiff",2,"hard",NA
650,"lo","lo","hardcorrectdiff",2,"hard",NA
651,"lo","lo","hardcorrectdiff",3,"hard",NA
652,"hi","lo","hardcorrectdiff",0,"hard",NA
653,"lo","hi","hardcorrectdiff",-1,"hard",NA
654,"lo","hi","hardcorrectdiff",2,"hard",NA
655,"lo","lo","hardcorrectdiff",0,"hard",NA
