"id","amascat","biscat","measure","value","difficulty","subject"
652,"hi","lo","easyverbalcorrect",8,"easy","verbal"
653,"lo","hi","easyverbalcorrect",8,"easy","verbal"
654,"lo","hi","easyverbalcorrect",6,"easy","verbal"
655,"lo","lo","easyverbalcorrect",8,"easy","verbal"
602,"hi","lo","hardverbalcorrect",5,"hard","verbal"
603,"hi","hi","hardverbalcorrect",7,"hard","verbal"
604,"hi","hi","hardverbalcorrect",3,"hard","verbal"
605,"lo","lo","hardverbalcorrect",6,"hard","verbal"
606,"lo","hi","hardverbalcorrect",7,"hard","verbal"
607,"hi","lo","hardverbalcorrect",3,"hard","verbal"
608,"hi","lo","hardverbalcorrect",4,"hard","verbal"
609,"hi","hi","hardverbalcorrect",2,"hard","verbal"
610,"lo","lo","hardverbalcorrect",5,"hard","verbal"
611,"lo","lo","hardverbalcorrect",5,"hard","verbal"
612,"lo","lo","hardverbalcorrect",5,"hard","verbal"
613,"lo","hi","hardverbalcorrect",4,"hard","verbal"
614,"lo","lo","hardverbalcorrect",6,"hard","verbal"
615,"lo","hi","hardverbalcorrect",6,"hard","verbal"
616,"lo","lo","hardverbalcorrect",4,"hard","verbal"
617,"hi","lo","hardverbalcorrect",4,"hard","verbal"
618,"lo","lo","hardverbalcorrect",5,"hard","verbal"
619,"lo","hi","hardverbalcorrect",5,"hard","verbal"
620,"hi","lo","hardverbalcorrect",5,"hard","verbal"
621,"lo","hi","hardverbalcorrect",6,"hard","verbal"
622,"hi","hi","hardverbalcorrect",3,"hard","verbal"
625,"lo","lo","hardverbalcorrect",4,"hard","verbal"
626,"hi","hi","hardverbalcorrect",4,"hard","verbal"
627,"hi","lo","hardverbalcorrect",3,"hard","verbal"
628,"hi","lo","hardverbalcorrect",6,"hard","verbal"
629,"hi","hi","hardverbalcorrect",7,"hard","verbal"
630,"hi","hi","hardverbalcorrect",5,"hard","verbal"
631,"hi","hi","hardverbalcorrect",4,"hard","verbal"
632,"hi","lo","hardverbalcorrect",3,"hard","verbal"
633,"lo","hi","hardverbalcorrect",3,"hard","verbal"
634,"hi","hi","hardverbalcorrect",3,"hard","verbal"
635,"lo","hi","hardverbalcorrect",6,"hard","verbal"
636,"hi","hi","hardverbalcorrect",7,"hard","verbal"
637,"hi","lo","hardverbalcorrect",6,"hard","verbal"
638,"lo","hi","hardverbalcorrect",5,"hard","verbal"
640,"lo","lo","hardverbalcorrect",7,"hard","verbal"
641,"lo","lo","hardverbalcorrect",7,"hard","verbal"
642,"hi","hi","hardverbalcorrect",5,"hard","verbal"
643,"lo","lo","hardverbalcorrect",7,"hard","verbal"
644,"hi","lo","hardverbalcorrect",3,"hard","verbal"
645,"lo","lo","hardverbalcorrect",4,"hard","verbal"
646,"lo","lo","hardverbalcorrect",6,"hard","verbal"
647,"hi","lo","hardverbalcorrect",7,"hard","verbal"
648,"hi","lo","hardverbalcorrect",7,"hard","verbal"
649,"hi","hi","hardverbalcorrect",6,"hard","verbal"
650,"lo","lo","hardverbalcorrect",6,"hard","verbal"
651,"lo","lo","hardverbalcorrect",6,"hard","verbal"
652,"hi","lo","hardverbalcorrect",5,"hard","verbal"
653,"lo","hi","hardverbalcorrect",5,"hard","verbal"
654,"lo","hi","hardverbalcorrect",3,"hard","verbal"
655,"lo","lo","hardverbalcorrect",5,"hard","verbal"
